python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
popular,英 [?p?pj?l?(r)]美 [?pɑpj?l?(r)],adj. 流行的，大众化的; 民众的，大众的，公众的; 通俗的，普通的，平易的; 〈美俚〉自以为了不
powerful,英 [?pa??fl]美 [?pa??rfl],adj. 强大的; 权力大的; （药）有效地; adv. 很; 非常;
respectively,英 [r??spekt?vli]美 [r??sp?kt?vli],adv. 各自地; 各个地; 分别地;
component,英 [k?m?p??n?nt]美 [k?m?po?n?nt],n. 成分; 组分; 零件; [数]要素; adj. 成分的; 组成的; 合成的; 构成的;
cursor,英 [?k?:s?(r)]美 [?k?rs?(r)],n. 光标;
speech,英 [spi:t?]美 [spit?],n. 演说，演讲，发言; 说话，谈话，说话能力或方式; （乐器的）音，音色; 方言，民族语言;
cover,英 [?k?v?(r)]美 [?k?v?],v. 遮盖; 掩蔽; 涉及; 洒上; n. 封面; 掩护; 覆盖物; 避难所;
logical,英 [?l?d??kl]美 [?lɑd??kl],adj. 符合逻辑的; 逻辑（上）的; 推理正确的; 合乎常理的;
interval,英 [??nt?vl]美 [??nt?rvl],n. 间隔; 幕间休息; （数学）区间;
distinct,英 [d??st??kt]美 [d??st??kt],adj. 明显的，清楚的; 卓越的，不寻常的; 有区别的; 确切的;
positive,英 [?p?z?t?v]美 [?pɑz?t?v],adj. 积极的; 确实的，肯定的; [数]正的; [医]阳性的; n. 正面; 正片; [语]原级
route,"英 [ru:t]美 [rut, ra?t]",n. 航线; 路; （公共汽车和列车等的）常规路线; 渠道，途径; vt. 按某路线发送; 给…规定
covered,英 [?k?v?d]美 [?k?v?rd],adj. 大量的; 有遮盖物的，（尤指）有顶的; v. 包括; 覆盖( cover的过去式和过去分词
intended,英 [?n?tend?d]美 [?n?t?nd?d],adj. 预期的; 有意的; n. 已订婚者; v. 打算(intend的过去式和过去分词); 意指
outer,英 [?a?t?(r)]美 [?a?t?],adj. 外面的，外部的; 远离内部（中心）的; [哲]客观外界的，物质的; n. 环外命中;
notable,英 [?n??t?bl]美 [?no?t?bl],adj. 显著的; 著名的; 值得注意的; n. 名人; 显要人物;
relationship,英 [r??le??n??p]美 [r??le??n???p],n. 关系; 联系; 浪漫关系; 血缘关系;
nonzero,英 [n?n'z??r??]美 [n?n'z?ro?],n. 非零;
simulation,英 [?s?mju?le??n]美 [?s?mj??le??n],n. 模仿，模拟; [生]拟态，拟色; 假装; 装病;
overview,英 [???v?vju:]美 [?o?v?rvju],n. 概观; 总的看法; 回顾，复习;
evaluation,英 [??v?lj?'e??n]美 [??v?lj??e??n],n. 估价; <数>赋值; 估计价值; [医学]诊断;
production,"英 [pr??d?k?n]美 [pr??d?k??n, pro-]",n. 产量; 产品; 生产，制作; 夸张的行动或形象，小题大做;
factorial,"英 [f?k?t?:ri?l]美 [f?k?t?ri?l, -?tor-]",adj. 因子的，阶乘的; n. 阶乘积，阶乘;
integration,英 [??nt??gre??n]美 [??nt??ɡre??n],n. 整合; 一体化; 结合; （不同肤色、种族、宗教信仰等的人的）混合;
living,英 [?l?v??]美 [?l?v??],adj. 活（着）的; 现存的; 在使用中的; 逼真的; n. 生计; 生活方式; 生存之道; v.
manual,英 [?m?nju?l]美 [?m?nju?l],adj. 用手的; 手制的，手工的; [法]占有的; 体力的; n. 手册; 指南; [乐]键盘; 
assume,英 [??sju:m]美 [??sum],v. 承担; 呈现; 假定，认为; 装出;
precedence,"英 [?pres?d?ns]美 [?pr?s?d?ns, pr??sidns]",n. 优先权; 位次; 领先; 地位先后，级别高低;
portfolio,英 [p?:t?f??li??]美 [p?rt?fo?lio?],n. 证券投资组合; 公文包; 代表作品集; 部长[大臣]的职位;
matter,英 [?m?t?(r)]美 [?m?t?],n. 物质; 事件; （讨论、考虑等的）问题; 重要性; vi. 要紧，重要; 化脓; 有重大影响;
backwards,英 [?b?kw?dz]美 [?b?kw?rdz],adj. 向后的; 倒行的; 返回的; 落后的; adv. 向后; 倒; 往后; 逆;
height,英 [ha?t]美 [ha?t],n. 身高; 高度，海拔; 高地; 绝顶，顶点;
front,英 [fr?nt]美 [fr?nt],n. 前面; 正面; 前线; 身体前部; adj. 前面的; 正面的; 舌前的; v. 面向; 在…
eliminate,英 [??l?m?ne?t]美 [??l?m??net],vt. 淘汰; 排除，消除; 除掉; <口>干掉;
beautiful,英 [?bju:t?fl]美 [?bjut?f?l],adj. 美丽的，美好的; 极好的;
plain,英 [ple?n]美 [plen],n. 平原; 平地; [纺织业]平针; 朴实无华的东西; adj. 平的; 素的; 清晰的; 相貌平
spatial,英 [?spe??l]美 [?spe??l],adj. 空间的; 存在于空间的; 受空间条件限制的; 占大篇幅的;
inverse,英 [??n?v?:s]美 [??n?v?rs],adj. 相反的; 逆向的; 倒转的; n. 相反; 倒转; 相反的事物; vt. 使倒转; 使颠倒
archive,英 [?ɑ:ka?v]美 [?ɑrka?v],v. 存档; n. 档案文件; 档案室;
secret,英 [?si:kr?t]美 ['sikr?t],n. 秘诀; 奥秘; 秘密，机密; adj. 隐秘的; 神秘的; 秘密的，机密的;
undefined,英 [??nd??fa?nd]美 [??nd??fa?nd],adj. 未阐明的; 未限定的;
permission,英 [p??m??n]美 [p?r?m??n],n. 允许; 批准，正式认可，认可;
scheme,英 [ski:m]美 [skim],vt.& vi. 策划，图谋; n. 计划; 体系; 阴谋; vt. 设计，计划; 谋划，图谋; v
messy,英 [?mesi]美 [?m?si],adj. 凌乱的，散乱的; 肮脏的，污秽的; 复杂的，麻烦的，难以应付的;
retrieve,英 [r??tri:v]美 [r??triv],vt. 取回; 恢复; [计]检索; 重新得到; vi. 找回猎物; n. 取回; 恢复，挽回; [
apache,"英 [??pɑ:?]美 [??p??, ɑ?pɑ?]",n. （巴黎，布鲁塞尔等地的）流氓或暴徒;
rendering,英 [?rend?r??]美 [?r?nd?r??],n. 翻译; 表演; （墙壁的）初涂，打底; （建筑物等）透视图; vt. 致使; 表演; 打底(r
navigation,英 [?n?v??ge??n]美 [?n?v??ɡe??n],n. 航行（学）; 航海（术）; 海上交通;
surrogate,英 [?s?r?g?t]美 [?s?r?g?t],n. 代理，代表; 代用品，代替，代孕者，[心]代用人物; 〈美〉遗嘱检验法庭[法官]; adj. 
member,英 [?memb?(r)]美 [?m?mb?],n. 成员; 分子; 身体部位（尤指胳膊或腿）; 构件，部件;
inherit,英 [?n?her?t]美 [?n?h?r?t],vt.& vi. 继承; vt. 经遗传获得（品质、身体特征等），继任;
philosophy,英 [f??l?s?fi]美 [f??lɑs?fi],n. 哲学; 哲理; 哲学体系，哲学思想; 生活信条;
magic,英 [?m?d??k]美 [?m?d??k],n. 魔法; 巫术; 戏法; 不可思议的魔力; adj. 魔术的; 幻术的; 不可思议的; 有奇异魔
scale,英 [ske?l]美 [skel],n. 规模; 比例（尺）; 鱼鳞; 级别; vt. 测量; 攀登; 刮去…的鳞片; vi. 衡量; 
launcher,"英 [?l?:nt??(r)]美 [?l?nt??, ?lɑn-]",n. 发射器; 发射者; 运载火箭; （火箭、导弹等的）发射装置;
foreign,英 [?f?r?n]美 [?f?r?n],adj. 外国的，外交的; 外来的; 不相干的; [医]异质的;
brown,英 [bra?n]美 [bra?n],adj. 棕色的; 褐色的; 被晒黑的; 未去壳的; n. 棕色; 褐色; v. 变成棕色; 成褐色
configure,英 [k?n?f?g?(r)]美 [k?n?f?gj?r],v. 配置; 设定; 使成形; 使具一定形式;
crawler,英 [?kr?:l?(r)]美 [?kr?l?],n. 爬行者，爬行动物;
pyramid,英 [?p?r?m?d]美 [?p?r?m?d],n. 金字塔; 角锥状物; vt. 使…成塔尖形; 使…节节建立; 使…上涨; vi. 成金字塔状;
diagonal,英 [da???g?nl]美 [da???ɡ?n?l],n. 斜线; [数]对角线; 斜列; 斜纹布; adj. 对角线的; 斜的; 斜线的; 斜纹的;
mobile,英 [?m??ba?l]美 [?mo?bl],adj. 可移动的; 行动自如的; 易变的; 流动性的; n. 手机; 风铃;
basis,英 [?be?s?s]美 [?bes?s],n. 基础; 主要成分; 基准，基本原则;
regardless,英 [r??gɑ:dl?s]美 [r??gɑrdl?s],adv. 不顾后果地; 不管怎样，无论如何; 不惜费用地; adj. 不重视的，不尊敬的; 不顾虑的
loading,英 [?l??d??]美 [?lo?d??],n. 装货; 装载量; （保险金的）附加费; 填充物; v. 把…装上车[船]( load的现在分词
ahead,英 [??hed]美 [??h?d],adv. 向前; 在（某人或某事物的）前面; 预先; 在将来，为未来;
shortcut,英 ['??:tk?t]美 [???rt?k?t],n. 捷径，近路; 被切短的东西;
postfix,英 [p??st'f?ks]美 [po?st'f?ks],n. 词尾; [语] 后缀; vt. 加字尾于;
semantic,英 [s??m?nt?k]美 [s??m?nt?k],adj. <语>语义的，语义学的;
identity,英 [a??dent?ti]美 [a??d?nt?ti],n. 身份; [逻]同一性; 个性; [数]恒等（式）;
welcome,英 [?welk?m]美 [?w?lk?m],vt. 欢迎; 乐于接受; adj. 受欢迎的; 令人愉悦的; 表示感谢的; n. 欢迎，迎接;
structured,英 ['str?kt??d]美 ['str?kt??d],adj. 有结构的; v. 组织( structure的过去式和过去分词 ); 安排; 制定;
disable,英 [d?s?e?bl]美 [d?s?eb?l],vt. 使无能力; 使残废，使伤残; 使无资格; 使不中用;
scratch,英 [skr?t?]美 [skr?t?],vt. 擦，刮; 擦痛，擦伤; 在…处搔痒; 抓破; vi. 发出刮擦声; 擦红，擦伤; 搔痒; 抓
commonly,英 [?k?m?nli]美 [?kɑm?nli],adv. 通常地; 一般地; 平凡地; 粗俗地;
taking,英 ['te?k??]美 [?tek??],adj. 吸引人的; 迷人的; 唾手可得; 随手可拿; adv. 引人注目地，迷人地; n. 引人注
limited,英 [?l?m?t?d]美 [?l?m?t?d],adj. 有限的; （君主权力）受宪法限制的; 〈美〉乘客名额有限制的; （智力，能力等）有限的; 
classic,英 [?kl?s?k]美 [ ?kl?s?k],adj. 典型的; 传统式样的; 著名的; 有趣的; n. 文豪; 文学名著; 优秀的典范; 古希腊
lexical,英 [?leks?kl]美 [?l?ks?k?l],adj. 词汇的; 具词典性质的，词典的;
broadcast,英 [?br?:dkɑ:st]美 [?br?dk?st],vt. 广播; 播放; 使广为人知; 尤指用手播（种）; vi. 播放节目; 参加电台、电视节目的演
training,英 [?tre?n??]美 [?tren??],n. 训练; 培养; （枪炮，摄影机等的）瞄准; 整枝法; v. 训练，培养( train的现在分词
submit,英 [s?b?m?t]美 [s?b?m?t],vi. 顺从，服从; 甘受，忍受; vt. 使服从，使顺从; 提交，呈送; [法]主张，建议;
constant,英 [?k?nst?nt]美 [?kɑnst?nt],adj. 不断的，持续的; 永恒的，始终如一的; 坚定; 忠实的; n. [数]常数，常量; 不变的
latter,英 [?l?t?(r)]美 [?l?t?],adj. 后者的; 末了的; 较后的;
ability,英 [??b?l?ti]美 [??b?l?ti],n. 能力，资格; 能耐，才能;
geographic,英 [?d?i:?'ɡr?f?k]美 [?d?i?'ɡr?f?k],adj. 地理学的，地理的;
familiar,英 [f??m?li?(r)]美 [f??m?lj?],adj. 熟悉的; 通晓的; 冒昧的; 随便的; n. 常客，密友; 高级官吏的家属; [天主]教皇
casting,英 [?kɑ:st??]美 [?k?st??],n. 铸造，铸件; 角色分配; 投掷; [动]脱落物; v. 铸造; 扔掉(cast的现在分词); 
classifier,英 [?kl?s?fa??(r)]美 [?kl?s??fa??],n. 分类者，分类器;
entity,英 [?ent?ti]美 [??nt?ti],n. 实体; 实际存在物; 本质;
alpha,英 [??lf?]美 ['?lf?],n. 希腊字母的第一个字母;
employee,英 [?m?pl??i:]美 [?m?pl??i],n. 雇工，雇员，职工;
coverage,英 [?k?v?r?d?]美 [?k?v?r?d?],n. 范围，规模; 保险项目; （新闻）报导; [植]优势度;
combination,英 [?k?mb??ne??n]美 [?kɑmb??ne??n],n. 结合; 联合体; 密码组合; 连裤内衣;
blank,英 [bl??k]美 [bl??k],adj. 空白的; 空的，无信息的，未填写的; 茫然的; 空虚的; n. 坯; 空的空间或地点; 填
miller,英 [?m?l?(r)]美 [?m?l?],n. （尤指面粉厂的）厂主; 磨房主; 碾磨工; [昆]蛾;
theory,英 [?θ??ri]美 [?θ?ri],n. 理论; 原理; 学说; 推测;
instructor,英 [?n?str?kt?(r)]美 [?n?str?kt?],n. 指导者，教师;
indentation,英 [??nden?te??n]美 [??nd?n?te??n],n. 缺口; 凹进; 缩格; 凹口;
builder,英 [?b?ld?(r)]美 [?b?ld?],n. 建设者，建筑者; 创建者; 经营建筑业者; 增洁剂，促净剂;
official,英 [??f??l]美 [??f???l],n. 公务员; 行政官员; [体]裁判; 高级职员; adj. 正式的; 官方的，法定的; 公职的，
variance,英 [?ve?ri?ns]美 [?veri?ns],n. 变化，变动; 不一致; 分歧; <数>方差;
ticket,英 [?t?k?t]美 [?t?k?t],n. 票，入场券; 标签; 传票，交通违规的通知单; <美>候选人名单; vt. 售票; 给…门票;
pretty,英 [?pr?ti]美 [?pr?ti],adj. 漂亮的; 机灵的，聪明的; adv. 相当，颇; n. 漂亮的人（或东西）;
processor,英 [?pr??ses?(r)]美 [?prɑses?],n. 加工; 数据处理机; （计算机的）中央处理器; 加工机（或工人）;
cryptography,英 [kr?p?t?gr?fi]美 [kr?p?ɑgr?fi],n. 密码使用法，密码系统，密码术;
sphinx,英 [sf??ks]美 [sf??ks],n. [埃]狮身人面[鹰头，羊头]巨象;
shelve,英 [?elv]美 [??lv],vt. 将（书等）放置在架子上; 将…搁在一边; 装搁架于; 罢免; vi. （陆地）逐渐倾斜;
gender,英 [?d?end?(r)]美 [?d??nd?],n. 性别; <语>性某些语言的（阳性、阴性和中性，不同的性有不同的词尾等）; 某些语言的（名词、代
native,英 [?ne?t?v]美 [?net?v],adj. 本国的; 土著的; 天生的; 天真的，纯朴的; n. 当地人; 土著人; 当地产的动（植）
truth,英 [tru:θ]美 [truθ],n. 真理; 真相，事实; 忠实，忠诚; 现实，现实性;
extended,英 [?k?stend?d]美 [?k?st?nd?d],adj. 延伸的; 延长的; 伸展的; 扩大的; v. 延长; 伸展; 延伸(extend的过去式和
suffix,英 [?s?f?ks]美 [?s?f?ks],n. 后缀，词尾; vt. 加后缀，加词尾;
export,英 [?eksp?:t]美 [?eksp?rt],vt.& vi. 出口，输出; vt. 传播，输出（思想或活动）; n. 输出，出口; 输出[出口]
comma,英 [?k?m?]美 [?kɑm?],n. 逗号;
period,英 [?p??ri?d]美 [?p?ri?d],n. 时期; （一段）时间; 学时; 句号; adj. 具有某个时代特征的; （关于）过去某一特定历
channel,英 [?t??nl]美 [?t??n?l],n. 渠道; 海峡; 频道，波道; 途径; vt. 引导，开导; 形成河道;
tracer,英 [?tre?s?(r)]美 ['tre?s?r],n. 追踪者，描图者，（铁笔等）绘图工具;
deviation,英 [?di:vi?e??n]美 [?divi?e??n],n. 背离，偏离; 离经叛道的行为; [航]偏航; [数]绝对偏差;
corpora,英 [?k?:p?r?]美 [?k?rp?s],n. 全集，任何事物的主体; （书面的，有时为口语的）资料，文集，汇编( corpus的名词复数 )
floor,"英 [fl?:(r)]美 [fl?r, flor]",n. 楼层; 地面，地板; 底部; 议员席; vt. 铺地板; 击败，打倒;
aggregate,英 [??gr?g?t]美 [??ɡr?ɡ?t],n. 骨料; 合计; 聚集体; 集料（可成混凝土或修路等用的）; adj. 总数的，总计的; 聚合的
helper,英 [?help?(r)]美 [?h?lp?],n. 助手，帮手; 起救助作用的东西;
processed,英 [p'r?sest]美 [p'r?sest],adj. 加工过的，经加工的; v. 处理; 加工( process的过去式和过去分词 ); 审阅;
edition,英 [??d??n]美 [??d???n],n. 版次，版本; （报纸、杂志的）一份; （广播、电视节目的）一期; （书、报、杂志等的）一版印刷
train,英 [tre?n]美 [tren],n. 火车; 行列; 一系列相关的事情;  拖裾; v. 训练; 培养; 教育; 修整;
implicit,英 [?m?pl?s?t]美 [?m?pl?s?t],adj. 不言明[含蓄]的; 无疑问的，绝对的; 成为一部份的; 内含的;
contrast,英 [?k?ntrɑ:st]美 [?kɑntr?st],n. 对比，对照; 差异; 对照物，对立面; [摄]反差; vi. 对比; 形成对照; vt. 使对
density,英 [?dens?ti]美 [?d?ns?ti],n. 密度; 稠密，浓厚; [物]浓度，比重; 愚钝;
advantage,英 [?d?vɑ:nt?d?]美 [?d?v?nt?d?],n. 有利条件; 益处; 优越（性）; 处于支配地位; vt. 有利于; 有益于; 促进; 使处于有
gamma,英 [?g?m?]美 [?ɡ?m?],n. 希腊字母表的第三个字母; 微克; [物]伽马; [虫]V纹蛾;
pipeline,英 [?pa?pla?n]美 [?pa?p?la?n],n. 管道; 输油管道; 渠道，传递途径; vt. （通过管道）运输，传递; 为…安装管道;
percent,英 [p?'sent]美 [p??s?nt],n. 百分比，百分数; 百分之一; adj. 百分之…的，每一百中有…的; 百分之…支付利息的; a
declaration,英 [?dekl??re??n]美 [?d?kl??re??n],n. 宣言，布告，公告，声明; （纳税品在海关的）申报; [法]（原告的）申诉，（证人的）陈述，口供
lowercase,英 ['l????ke?s]美 ['lo?r?ke?s],n. 小写字母; 小写字体; adj. 小写字体的; vt. 用小写字体书写;
infix,英 [??nf?ks]美 [?n?f?ks],vt. 使…钻进，让…插进; n. 插入词，中缀;
indicate,英 [??nd?ke?t]美 [??nd??ket],vt. 表明，标示，指示; 象征，暗示，预示; [医]显示需要做…的治疗;
overriding,英 [???v??ra?d??]美 [?o?v?r?ra?d??],adj. 最重要的，高于一切的; v. 推翻，无视(override的现在分词); （以权力）否决;
drawn,英 [dr?:n]美 [dr?n],adj. 疲惫的; 憔悴的; 互无胜负的; 拔出鞘的; v. 拉; 绘画( draw的过去分词); 
singleton,英 [?s??glt?n]美 [?s??ɡ?lt?n],n. 一个，独身，单独;
separated,英 [?sep?re?t?d]美 ['sep?re?t?d],adj. 分开的; v. 分开(separate的过去式和过去分词);
uniform,英 [?ju:n?f?:m]美 [?jun?f?rm],n. 制服; 军服; 通讯中用以代表字母 u 的词; adj. （形状，性质等）一样的; 规格一致的
sequential,英 [s??kwen?l]美 [s??kw?n??l],adj. 序贯; 时序; 按次序的，相继的，构成连续镜头的;
selection,英 [s??lek?n]美 [s??l?k??n],n. 选择; 被选中者; 可供选择的事物;
cycle,英 [?sa?kl]美 [?sa?k?l],n. 循环，周期; 自行车; 时代，一段时间; 整套; vi. 周而复始，循环; 骑自行车; 轮转;
singular,英 [?s??gj?l?(r)]美 [?s??ɡj?l?],adj. 奇特的; 非凡的; <语>单数的; <正>突出的; n. 单数形式（的词）;
activate,英 [??kt?ve?t]美 [??kt??vet],vt. 使活动，起动，触发; 使开始作用;
vertices,英 [?v?:rt?si:z]美 [?v?t??siz],n. 顶点; 至高点，头顶; 最高点( vertex的名词复数 ); <数>（三角形、圆锥体等与底相
older,英 ['??ld?r]美 ['o?ld?r],adj. 年长的; 老的( old的比较级 ); 古老的; 以前的; （用于指称被替代的东西） 原来
linguistic,英 [l???gw?st?k]美 [l???ɡw?st?k],adj. 语言的; 语言学的;
schedule,英 [??edju:l]美 [?sked?ul],n. 时刻表，进度表; 清单，明细表; 预定计划; 目录; vt. 排定，安排; 将…列表; 为…作
printer,英 [?pr?nt?(r)]美 [?pr?nt?],n. 打印机; 印刷机; 印刷商，印刷厂; 印刷业从业人员，印花工;
forward,英 [?f?:w?d]美 [?f?rw?rd],adv. 向前; 前进地; 至将来; 提前地; adj. 向前方的; 迅速的; （社会、政治）进步的
distributed,英 [d?s'tr?bju:t?d]美 [d?'str?bjut?d],adj. 分布式的; v. 散发; 分配( distribute的过去式和过去分词); 分销; [常
formal,英 [?f?:ml]美 [?f?rml],adj. （学校教育或培训）正规的; 方式上的; 礼仪上的; n. <美>须穿礼服的社交集会; <口
independent,英 [??nd??pend?nt]美 [??nd??p?nd?nt],adj. 自主的; 不相关连的; 无党派的; 不相干的人所做的（或提供的）; n. 独立自主的人; 
solve,英 [s?lv]美 [sɑlv],vt. 解决; 解答; 解释; 清偿（债务）;
statistics,英 [st?'t?st?ks]美 [st??t?st?ks],n. 统计数字; 统计，统计学，统计法，统计资料; “statistic”的复数;
calculate,英 [?k?lkjule?t]美 [?k?lkj??let],vt.& vi. 计算; 估计; 打算，计划; 旨在; vt. 预测，推测;
website,英 [?websa?t]美 ['websa?t],n. [通信]网站;
phrase,英 [fre?z]美 [frez],n. 成语; 乐句; 说法; <语>短语; vt. 叙述，措词; vt.& vi. 划分乐句，分乐节
semantics,英 [s??m?nt?ks]美 [s??m?nt?ks],n. 语义学; 词义学;
initialize,英 [??n???la?z]美 [??n????la?z],vt. 初始化;
exact,英 [?g?z?kt]美 [?ɡ?z?kt],adj. 准确的; 严密的; 精密的，精确的; vt. 要求; 苛求; 迫使; 强求;
partition,英 [pɑ:?t??n]美 [pɑr?t??n],n. 分割; 隔墙; 划分，分开; 隔离物; vt. 分割; 分开，隔开; 区分;
preview,英 [?pri:vju:]美 [?pri?vju],n. 试映，预演; 预告片; 象征，预示; vt. 预映; 预先观看; 概述; 扼要介绍;
convenient,英 [k?n?vi:ni?nt]美 [k?n?vinj?nt],adj. 方便的; [废语]适当的; [口语]近便的; 实用的;
convenience,英 [k?n?vi:ni?ns]美 [k?n?vinj?ns],n. 方便，便利; 便利设施; 个人的舒适或利益; （公共）厕所;
recognize,英 [?rek?gna?z]美 [?r?k?ɡ?na?z],vt. 承认; 识别; 认出; vi. 承认，确认; [法律]具结，立保证书;
publisher,英 [?p?bl???(r)]美 [?p?bl???],n. 出版者，出版商，出版社; 公布者，发表者; 〈美〉办报者;
repair,英 [r??pe?(r)]美 [r??per],vt. 修理; 纠正; 恢复; 弥补; n. 修理; 修理工作; 维修状态; 经修理的东西;
upgrade,英 [??p?gre?d]美 [??p?ɡred],n. 向上的斜坡; vt. 提升; 使（机器、计算机系统等）升级; 提高（设施、服务等的）档次; 提
score,"英 [sk?:(r)]美 [sk?r, skor]",n. 得分; 分数; 总谱; 20个; v. 评分; 得分; 记分; 获得胜利;
broadcasting,英 [?br?:dkɑ:st??]美 [?br?dk?st??],n. （电台、电视台的）广播，播放; （电台、电视台）广播员的职业; v. 广播，播放( broad
detailed,"英 [?di:te?ld]美 [d??teld,?di?teld]",adj. 详尽的; 详细的，明细的; 精细的; 复杂的; v. 详细说明(detail的过去分词);
quantity,英 [?kw?nt?ti]美 [?kwɑnt?ti],n. 量，数量; 定量，大批; 数目; [语音学、韵律学]音量（指元音或音节的长短）;
managing,英 ['m?n?d???]美 ['m?n?d???],adj. 管理的，节约的; v. 经营; 使用( manage的现在分词 ); 完成（困难的事）; 
relation,英 [r??le??n]美 [r??le??n],n. 关系; 联系; 关联; 亲属;
blueprint,英 [?blu:pr?nt]美 [?blu?pr?nt],n. 蓝图，设计图; 计划大纲; 原本; vt. 为…制蓝图; 为…制订计划;
center,英 ['sent?]美 [?s?nt?],n. 中心; 中枢; （球队的） 中锋; 中心区; adj. 中央的，位于正中的; （在）中心的; 
collect,英 [k??lekt]美 [k??l?kt],vt. 收集; 收藏; 接走; 聚积; vi. 募捐; 募集; adj. 由受话人付费的;
technically,英 [?tekn?kli]美 [?t?kn?kl?],adv. 技术上; 学术上; 专业上; 严格说来;
saving,英 [?se?v??]美 [?sev??],n. 节约; 挽救; 节俭; 储蓄金; v. 拯救( save的现在分词); 收集; 保留; 避免;
fantasy,"英 [?f?nt?si]美 [?f?nt?si, -zi]",n. 幻想; 空想的产物; 幻想作品; 非正式的货币; vt.& vi. 幻想; 想像; 奏幻想曲;
coach,英 [k??t?]美 [ko?t?],n. 教练; （铁路）旅客车厢; 长途客运汽车; 四轮大马车; vt.& vi. 辅导; 训练; v
audio,英 [??:di??]美 [??dio?],adj. 音频的; 听觉的，声音的; n. 音响; 声音回路; 可听到的声音; 声音信号;
bucket,英 [?b?k?t]美 [?b?k?t],n. 水桶; 一桶（的量）; 大量; 〈俚〉交通工具; v. 用桶装，用桶运; 倾盆而下; 〈美俚〉
clone,英 [kl??n]美 [klo?n],n. （动植物的）克隆; 无性繁殖系; 复制人（或动植物）; （不动脑筋）机械行事的人，机器人; v
conditional,英 [k?n?d???nl]美 [k?n?d???n?l],adj. 视…而定的; [语]条件的，假定的; [心]有条件的，由一定条件诱发的; n. 条件（从句
lexicon,英 [?leks?k?n]美 [?l?ks??kɑn],n. 词典; 专门词汇;
numerical,英 [nju:?mer?kl]美 [nu?mer?kl],adj. 数字的，用数字表示的，数值的;
naive,英 [na??i:v]美 [nɑ?iv],adj. 天真的; 幼稚的; 单纯的;
reversed,英 [r?'v?:st]美 [r?'v?st],v. 推翻; （使）反转( reverse的过去式和过去分词 ); （使）颠倒; （使）翻转; ad
resolve,英 [r??z?lv]美 [r??zɑlv],vt.& vi. 决心; 决定; vt. 使消释; 使分解，使解体; （指委员会或集会）表决; 消退
mathematical,英 [?m?θ?'m?t?kl]美 [?m?θ??m?t?k?l],adj. 数学的; 精确的; 绝对的; 可能性极小的;
attempt,英 [??tempt]美 [??t?mpt],vt. 尝试; 试图; n. 进攻; 尝试，冲击;
matrices,"英 [?me?tr?si:z]美 [?metr??siz, ?m?tr?-]",n. 母体，子宫(matrix的复数); <数>矩阵( matrix的名词复数 ); 铸模; （内含
lowest,英 ['l???st]美 ['lo??st],adj. 最低的，最底下的，最小的;
docker,英 [?d?k?(r)]美 [?dɑk?(r)],n. 码头工人;
motor,英 [?m??t?(r)]美 [?mo?t?(r)],n. 汽车; 马达，发动机，[火箭]助推器; 原动者，原动力; [解]运动肌，运动神经; vi. 开
visualization,英 [?v????la?'ze??n]美 [?v????l??ze??n],n. 形象（化），形象化，想像; 目测;
endpoint,英 ['endp??t]美 ['end?p??nt],n. 端点，终点;
vehicle,英 [?vi:?kl]美 [?vih?kl],n. 车辆; 交通工具; 传播媒介，媒介物; [药]赋形剂;
success,英 [s?k?ses]美 [s?k?s?s],n. 成功，成就; 好成绩，好结果; 成功的人（或物）;
toolbox,英 [?tu:lb?ks]美 [?tulbɑks],n. 工具箱;
connected,英 [k?'nekt?d]美 [k??n?kt?d],adj. 连接的，有关系的，有联系的; 连贯的; 有血统[婚姻]关系的; v. 连接( connec
infinity,英 [?n?f?n?ti]美 [?n?f?n?ti],n. <数>无穷大; 无限的时间或空间;
beacon,英 [?bi:k?n]美 [?bik?n],n. 烽火; 灯塔，信号浮标; 指路明灯; 警标，界标; vt. 照亮，指引; 为…设置信标; 用灯
resize,"英 [?ri:?sa?z]美 [,ri'sa?z]",v. 调整大小;
intent,英 [?n?tent]美 [?n?t?nt],n. 意图，目的; 意思，含义; adj. 专心的，专注的; 意愿坚决的; 急切的; 一心想…的;
continued,英 [k?n?t?nju:d]美 [k?n?t?njud],adj. 继续的，延续的; v. 持续; 继续，连续( continue的过去式和过去分词 ); 逗
embedded,英 [?m'bed?d]美 [?m'bed?d],adj. 植入的，深入的，内含的; v. 把…嵌入，埋入( embed的过去式和过去分词 );
piece,英 [pi:s]美 [pis],n. 块，片，段; 部分，部件; 文章，音乐作品; vt. 修补; 连接，接上;
thanks,英 [θ??ks]美 [θ??ks],n. 感谢，谢谢; 感谢，谢谢，道谢的话( thank的名词复数 ); int. 感激（的），致谢（
academia,英 [??k??di:mi?]美 [??k??dimi?],n. 学术界，学术环境;
improve,英 [?m?pru:v]美 [?m?pruv],vt. 提高（土地、地产）的价值; 利用（机会）; 改善，改良; vi. 变得更好; 改进，改善;
mixer,英 [?m?ks?(r)]美 [?m?ks?],n. 混合器; 搅拌器; 调音师;
shift,英 [??ft]美 [??ft],vt.& vi. 改变; 换挡; 去掉; 摆脱掉; vt. 换…的衣服，更（衣）; 卖，出售; [计
moment,英 [?m??m?nt]美 [?mo?m?nt],n. 时刻; 瞬间，片刻; 重要，紧要; [物]力矩;
